no,name_of_member,state,party,term_start,term_end,vacation_date_reason,vacation_date,vacation_reason,party_normalized
227,Singh Shri Ng. Tompok,Manipur and Tripura,JAN,4/10/1978,4/9/1984,Retirement,4/9/1984,Retirement,
241,Singh Shri Shiva Nandan,Uttar Pradesh,JAN,3/20/1978,4/2/1980,Retirement,4/2/1980,Retirement,
305,Sujan Singh Shri,Haryana,JAN,7/13/1977,4/9/1978,Retirement,4/9/1978,Retirement,
305,Sujan Singh Shri,Haryana,JAN,4/10/1978,4/9/1984,31/12/1982 Resignation,12/31/1982,Resignation,
321,Surendra Mohan Shri,Uttar Pradesh,JAN,4/3/1978,4/2/1984,Retirement,4/2/1984,Retirement,
58,Tombi Shri Salam,Manipur,MPP,4/10/1972,4/9/1978,04/04/1974 Resignation,4/4/1974,Resignation,Manipur People?s Party
68,Trivedi Shri H.M.,Gujarat,JAN,4/10/1972,4/9/1978,Retirement,4/9/1978,Retirement,
17,Varma Shri Mahadeo Prasad,Uttar Pradesh,JAN,4/3/1974,4/2/1980,Retirement,4/2/1980,Retirement,
46,Gopalan Shri K.,Kerala,Janata (G),7/2/1982,7/1/1988,Retirement,7/1/1988,Retirement,Janata Party (G);
50,Goswami Shri Biswa,Assam,JAN,4/3/1980,4/2/1986,Retirement,4/2/1986,Retirement,
88,Masood Shri Rasheed,Uttar Pradesh,JAN,7/5/1986,7/4/1992,27/11/89,11/27/1989,,
19,Naik Shri R.S.,Karnataka,JD(U),4/3/1980,4/2/1986,Retirement,4/2/1986,Retirement,J.D.
72,Devi Lal Shri,Haryana,INLD,8/2/1998,8/1/2004,06/04/2001 Death,4/6/2001,Death,Indian National Lok Dal
71,Khader Shri N. Abdul,Tamil Nadu,TMC(M),10/10/1997,6/29/1998,Retirement,6/29/1998,Retirement,Tamil Maanila Congress (Moopanar)
30,Libra Shri Sukhdev Singh,Punjab,SAD,7/5/1998,7/4/2004,13/05/2004 Elected to Lok Sabha,5/13/2004,ElectedtoLokSabha,
37,Majitha Shri Raj Mohinder Singh,Punjab,SAD,7/5/1998,7/4/2004,01/03/2001 Resignation,3/1/2001,Resignation,
96,Mattathil Shri M.J. Varkey,Kerala,KC,4/3/1998,4/2/2004,Retirement,4/2/2004,Retirement,Kerala Congress
49,Natarajan Smt. Jayanthi,Tamil Nadu,TMC(M),10/10/1997,7/24/2001,Retirement,7/24/2001,Retirement,Tamil Maanila Congress (Moopanar)
57,Tohra Sardar Gurcharan Singh,Punjab,SAD,4/10/1998,4/9/2004,01/04/2004 Death,4/1/2004,Death,
59,Vizol Shri,Nagaland,NPC,4/3/1992,4/2/1998,Retirement,4/2/1998,Retirement,NagalandÿPeople's Council
5,Warisa Shri Prakanta,Assam,ASDC,4/10/1996,4/9/2002,Retirement,4/9/2002,Retirement,Autonomous State Demand Committee
58,Ali Shri Sabir,Bihar,LJP,4/10/2008,4/9/2014,15/11/2011 Resignation,11/15/2011,Resignation,
24,Das Shri Kumar Deepak,Assam,AGP,6/15/2007,6/14/2013,Retirement,6/14/2013,Retirement,
19,Gavai Shri R.S.,Maharashtra,RPI,4/3/2000,4/2/2006,Retirement,4/2/2006,Retirement,
86,Dhoot Shri Rajkumar,Maharashtra,SS,4/3/2014,4/2/2020,Retirement,4/2/2020,Retirement,Shiv Sena
14,Jain Shri Ishwarlal Shankarlal,Maharashtra,NCP,7/5/2010,7/4/2016,Retirement,7/4/2016,Retirement,
114,Memon Shri Majeed,Maharashtra,NCP,4/3/2014,4/2/2020,Retirement,4/2/2020,Retirement,
143,Reddy Shri D. Kupendra,Karnataka,JD(S),6/26/2014,6/25/2020,Retirement,6/25/2020,Retirement,
16,Tariq Anwar Shri,Maharashtra,NCP,7/5/2010,7/4/2016,16/05/2014 Elected to Lok Sabha,5/16/2014,ElectedtoLokSabha,
65,Tripathi Shri D.P.,Maharashtra,NCP,4/3/2012,4/2/2018,Retirement,4/2/2018,Retirement,
8,Zhimomi Shri Khekiho,Nagaland,N.P.F.,4/3/2010,4/2/2016,26/11/2015 Death,11/26/2015,Death,
