sr_no,member_name,state,party,term,vacation_reason,from_date,to_date,,
13,Yadav Shri Sharad,Bihar,JD(U),08/07/2004 07/07/2010,"16/05/2009
Elected to Lok Sabha",08/07/04,07/07/10,,
14,Yadav Shri Sharad,Bihar,JD(U),13/06/2014 07/07/2016,Retirement,13/06/14,07/07/16,,
14,Yadav Shri Sharad,Bihar,JD(U),08/07/2016 07/07/2022,"04/12/2017
Disqualification",08/07/16,07/07/22,,
15,Yadav Shri Shyam Lal,Uttar Pradesh,Congress,03/04/1970 02/04/1976,Retirement,03/04/70,02/04/76,,
16,Yadav Shri Shyam Lal,Uttar Pradesh,CONG(I),03/04/1976 02/04/1982,Retirement,03/04/76,02/04/82,,
17,Yadav Shri Shyam Lal,Uttar Pradesh,CONG(I),03/04/1982 02/04/1988,29/12/84,03/04/82,02/04/88,,
16,Yadav Shri Subhash Prasad,Bihar,RJD,08/07/2004 07/07/2010,Retirement,08/07/04,07/07/10,,
17,Yadav Shri Veer Pal Singh,Uttar Pradesh,SP,03/04/2006 02/04/2012,Retirement,03/04/06,02/04/12,,
18,Yadav Shri Vijay Singh,Bihar,RJD,03/04/2000 02/04/2006,Retirement,03/04/00,02/04/06,,
19,Yadav 'Ravi' Dr. Ramendra Kumar,Bihar,JD,08/07/1992 07/07/1998,Retirement,08/07/92,07/07/98,,
20,Yadav 'Ravi' Dr. Ramendra Kumar,Bihar,RJD,08/07/1998 07/07/2004,Retirement,08/07/98,07/07/04,,
20,Yadava Shri Bal Ram Singh,Uttar Pradesh,CONG(I),03/04/1990 02/04/1996,Retirement,03/04/90,02/04/96,,
21,Yajee Shri Sheel Bhadra,Bihar,Congress,27/04/1957 02/04/1958,Retirement,27/04/57,02/04/58,,
22,Yajee Shri Sheel Bhadra,Bihar,Congress,03/04/1958 02/04/1964,Retirement,03/04/58,02/04/64,,
22,Yajee Shri Sheel Bhadra,Bihar,Congress,03/04/1966 02/04/1972,Retirement,03/04/66,02/04/72,,
22,Yechury Shri Sitaram,West Bengal,CPI(M),19/08/2005 18/08/2011,Retirement,19/08/05,18/08/11,,
23,Yechury Shri Sitaram,West Bengal,CPI(M),19/08/2011 18/08/2017,Retirement,19/08/11,18/08/17,,
23,Yerra Narayanaswamy Shri,Andhra Pradesh,TDP,03/04/1994 02/04/2000,"21/10/1999
Resignation",03/04/94,02/04/00,,
1,Lachhman Singh Shri,Haryana,INC,10/04/1996 09/04/2002,Retirement,10/04/96,09/04/02,,
2,Lad Shri Anil H.,Karnataka,INC,26/06/2008 25/06/2014,"20/05/2013
Resignation",26/06/08,25/06/14,,
3,Lahane Shri Motiram Udaybhanji,Maharashtra,JP,14/12/1978 02/04/1980,Retirement,14/12/78,02/04/80,,
4,Lahoti Shri Puranmal S.,Andhra Pradesh,INC,03/04/1952 11/02/1954,"11/02/1954
Death",03/04/52,11/02/54,,
5,Lakhan Singh Shri,Uttar Pradesh,BJP,03/04/1978 02/04/1984,Retirement,03/04/78,02/04/84,,
6,Lakhanpal Smt. Chandravati,Uttar Pradesh,INC,04/03/1952 04/02/1956,Retirement,04/03/52,04/02/56,,
6,Lakhanpal Smt. Chandravati,Uttar Pradesh,INC,03/04/1956 02/04/1962,Retirement,03/04/56,02/04/62,,
7,Lakhawat Shri Onkar Singh,Rajasthan,BJP,16/10/1997 02/04/2000,Retirement,16/10/97,02/04/00,,
8,Lakshmanan Shri G.,Tamil Nadu,DMK,03/04/1974 02/04/1980,"08/01/1980
Elected to Lok Sabha",03/04/74,02/04/80,,
9,Lakshmanan Dr. R.,Tamil Nadu,AIADMK,25/07/2013 24/07/2019,Retirement,25/07/13,24/07/19,,
10,Lakshmanna Prof. C.,Andhra Pradesh,TDP,10/04/1984 09/04/1990,Retirement,10/04/84,09/04/90,,
11,Lakshmi Prasad Dr. Y.,Andhra Pradesh,TDP,10/04/1996 09/04/2002,Retirement,10/04/96,09/04/02,,
12,Lakshmisagar Prof. A.,Karnataka,JD,13/04/1998 09/04/2002,"09/04/2002
Retirement",13/04/98,09/04/02,,
13,Laksman Singhji Bahadur His Highness Rai-I-Rayan Maharawal Shrisir,Rajasthan,IND.,03/04/1952 02/04/1958,Retirement,03/04/52,02/04/58,,
14,Lal Prof. Mukut Behari,Uttar Pradesh,O,03/04/1960 02/04/1966,Retirement,03/04/60,02/04/66,,
15,Lalbuaia Shri,Mizoram,INC,17/07/1972 16/07/1978,Retirement,17/07/72,16/07/78,,
16,Lalhming Liana Shri,Mizoram,MNF,19/07/2002 18/07/2008,Retirement,19/07/02,18/07/08,,
16,Lalhming Liana Shri,Mizoram,MNF,19/07/2008 18/07/2014,Retirement,19/07/08,18/07/14,,
17,Lall Shri Kailash Bihari,Bihar,INC,04/03/1952 02/04/1954,Retirement,04/03/52,02/04/54,,
17,Lall Shri Kailash Bihari,Bihar,INC,03/04/1954 02/04/1960,"19/03/1960
Death",03/04/54,02/04/60,,
18,Lalsawia Shri,Mizoram,IND.,17/07/1978 16/07/1984,Retirement,17/07/78,16/07/84,,
19,Lalu Prasad Shri,Bihar,RJD,10/04/2002 09/04/2008,"13/05/2004
Elected to Lok Sabha",10/04/02,09/04/08,,
20,Lama Shri Dawa,West Bengal,CPI(M),03/04/1996 02/04/2002,Retirement,03/04/96,02/04/02,,
21,Lath Shri Surendra,Odisha,BJP,03/04/2002 02/04/2008,Retirement,03/04/02,02/04/08,,
22,Lather Shri Mohinder Singh,Haryana,O,03/04/1988 02/04/1994,Retirement,03/04/88,02/04/94,,
23,Lavji Lakhamshi Shri,Kutch,INC,24/09/1952 04/02/1954,Retirement,24/09/52,04/02/54,,
23,Lavji Lakhamshi Shri,Bombay,INC,04/03/1954 04/02/1960,Retirement,04/03/54,04/02/60,,
24,Laxmi Narain Shri,National Capital Territory of Delhi,INC,21/11/1983 20/11/1989,Retirement,21/11/83,20/11/89,,
25,Ledger Shri David,Assam,AGP,15/06/1989 14/06/1995,Retirement,15/06/89,14/06/95,,
26,Lenka Shri Kanhu Charan,Odisha,INC,03/04/1988 02/04/1994,Retirement,03/04/88,02/04/94,,
27,Lepcha Shri O.T.,Sikkim,SDF,24/02/2006 23/02/2012,Retirement,24/02/06,23/02/12,,
28,Lepcha Shri Sangdopal,West Bengal,CPI(M),11/03/1980 02/04/1984,Retirement,11/03/80,02/04/84,,
29,Leuva Shri Premji Thobhanbhai,Bombay,INC,07/08/1952 02/04/1954,Retirement,07/08/52,02/04/54,,
29,Leuva Shri Premji Thobhanbhai,Bombay,INC,04/03/1954 04/02/1960,Retirement,04/03/54,04/02/60,,
30,Libra Shri Sukhdev Singh,Punjab,SAD,05/07/1998 04/07/2004,"13/05/2004
Elected to Lok Sabha",05/07/98,04/07/04,,
31,Lila Devi Smt.,Himachal Pradesh,INC,03/12/1956 02/04/1962,Retirement,03/12/56,02/04/62,,
32,Limaye Shri Shripad Krishna,Maharashtra,O,03/04/1960 02/04/1966,Retirement,03/04/60,02/04/66,,
33,Lingam Shri N.M.,Others,INC,03/04/1958 02/04/1964,Retirement,03/04/58,02/04/64,,
34,Lodha Dr. Chhattrapal Singh,Odisha,BJP,02/07/2004 18/12/2005,"23/12/2005
Disqualification",02/07/04,18/12/05,,
35,Lohani Shri Iqbalmohmedkhan Talynohmedkhan,Gujarat,INC,13/08/1960 02/04/1964,Retirement,13/08/60,02/04/64,,
36,Lokesh Chandra Dr.,Nominated,NOM.,03/04/1974 02/04/1980,Retirement,03/04/74,02/04/80,,
36,Lokesh Chandra Dr.,Nominated,NOM.,04/03/1980 04/02/1986,Retirement,04/03/80,04/02/86,,
37,Lotha Shri Khyomo,Nagaland,O,04/03/1974 04/02/1980,Retirement,04/03/74,04/02/80,,
1,Zahidi Shri Khan Ghufran,Uttar Pradesh,CONG(I),30/11/1996 04/07/1998,Retirement,30/11/96,04/07/98,,
1,Zahidi Shri Khan Ghufran,Uttar Pradesh,INC,05/07/1998 04/07/2004,Retirement,05/07/98,04/07/04,,
2,Zaidi Col. B.H.,Uttar Pradesh,Congress,11/12/1963 02/04/1964,Retirement,11/12/63,02/04/64,,
2,Zaidi Col. B.H.,Uttar Pradesh,Congress,03/04/1964 02/04/1970,Retirement,03/04/64,02/04/70,,
3,Zail Singh Shri,Punjab,Congress,03/04/1956 02/04/1962,"10/03/1962
Resignation",03/04/56,02/04/62,,
4,Zakaria Dr. Rafiq,Maharashtra,CONG(I),03/04/1978 02/04/1984,Retirement,03/04/78,02/04/84,,
5,Zakir Hussain Dr.,Nominated,NOM.,03/04/1952 02/04/1956,Retirement,03/04/52,02/04/56,,
5,Zakir Hussain Dr.,Nominated,NOM.,03/04/1956 02/04/1962,"06/07/1957
Resignation",03/04/56,02/04/62,,
6,Zawar Hussain Shri,Bihar,Congress,20/12/1975 09/04/1978,Retirement,20/12/75,09/04/78,,
7,Zeliang Shri T.R.,Nagaland,N.P.F.,03/04/2004 02/04/2010,"24/03/2008
Seat declared vacant",03/04/04,02/04/10,,
8,Zhimomi Shri Khekiho,Nagaland,N.P.F.,04/07/2008 02/04/2010,Retirement,04/07/08,02/04/10,,
1,Elavarasan Shri A.,Tamil Nadu,AIADMK,25/07/2007Ê24/07/2013,Retirement,25/07/07,24/07/13,,
1,Faguni Ram Dr.,Bihar,CONG(I),11/02/1985 02/04/1988,Retirement,11/02/85,02/04/88,,
1,Faguni Ram Dr.,Bihar,CONG(I),03/04/1988 02/04/1994,Retirement,03/04/88,02/04/94,,
1,Faguni Ram Dr.,Bihar,INC,03/04/2000 02/04/2006,Retirement,03/04/00,02/04/06,,
2,Faleiro Shri Eduardo,Goa,INC,29/07/1999 28/07/2005,Retirement,29/07/99,28/07/05,,
3,Faruque Smt. Naznin,Assam,INC,03/04/2010 02/04/2016,Retirement,03/04/10,02/04/16,,
4,Fernandes Shri George,Bihar,JD(U),04/08/2009 07/07/2010,Retirement,04/08/09,07/07/10,,
5,Fernandes Shri John F.,Goa,CONG(I),08/07/1987 07/07/1993,Retirement,08/07/87,07/07/93,,
5,Fernandes Shri John F.,Goa,CONG(I),08/07/1993 07/07/1999,Retirement,08/07/93,07/07/99,,
6,Fotedar Shri Makhan Lal,Uttar Pradesh,CONG(I),09/05/1985 02/04/1990,Retirement,09/05/85,02/04/90,,
1,Gadgil Dr. D R,Nominated,NOM.,03/04/1966 02/04/1972,"31/08/1967
Resignation",03/04/66,02/04/72,,
2,Gadgil Shri V. N.,Maharashtra,Congress,06/05/1971 02/04/1976,Retirement,06/05/71,02/04/76,,
1,Gadgil Shri V. N.,Maharashtra,Congress,03/04/1976 02/04/1982,"07/01/1980
Elected to Lok Sabha",03/04/76,02/04/82,,
1,Gadgil Shri V. N.,Maharashtra,CONG(I),03/04/1994 02/04/2000,Retirement,03/04/94,02/04/00,,
3,Gaikwad Shri B K,Maharashtra,Republican,03/04/1962 02/04/1968,Retirement,03/04/62,02/04/68,,
3,Gaikwad Shri B K,Maharashtra,Republican,03/04/1968 02/04/1974,"29/12/1971
Death",03/04/68,02/04/74,,
4,Gaj Singh Shri,Rajasthan,IND.,26/03/1990 04/07/1992,Retirement,26/03/90,04/07/92,,
5,Galib Shaik,Andhra Pradesh,Congress,03/04/1954 02/04/1960,"12/07/1958
Resignation",03/04/54,02/04/60,,
6,Gandhi Smt. Indira,Uttar Pradesh,INC,26/08/1964 25/08/1970,"23/02/1967
Elected to Lok Sabha",26/08/64,25/08/70,,
7,Gandhi Shri Raj Mohan,Uttar Pradesh,JD,23/03/1990 04/07/1992,Retirement,23/03/90,04/07/92,,
8,Ganesan Shri L.,Tamil Nadu,DMK,30/06/1980 29/06/1986,"10/04/1986
Resignation",30/06/80,29/06/86,,
9,Ganesan Shri La.,Madhya Pradesh,BJP,07/10/2016 02/04/2018,Retirement,07/10/16,02/04/18,,
10,Ganesan Shri Misa R.,Tamil Nadu,DMK,03/04/1990 02/04/1996,Retirement,03/04/90,02/04/96,,
11,Ganesan Shri V. C.,Nominated,CONG(I),18/02/1982 02/04/1986,Retirement,18/02/82,02/04/86,,
12,Ganeshwar Kusum Shri,Odisha,CONG(I),03/04/1984 02/04/1990,Retirement,03/04/84,02/04/90,,
13,Ganga Charan Shri,Uttar Pradesh,BSP,19/06/2009 02/04/2012,Retirement,19/06/09,02/04/12,,
14,Ganguli Shri Salil Kumar,West Bengal,CPI(M),03/04/1970 02/04/1976,Retirement,03/04/70,02/04/76,,
15,Ganguly Dr. Ashok S.,Nominated,NOM.,18/11/2009 17/11/2015,Retirement,18/11/09,17/11/15,,
16,Gautam Shri Anand Prakash,Uttar Pradesh,CONG(I),28/01/1985 04/07/1986,"04/07/1986
Retirement",28/01/85,04/07/86,,
7,Gautam Shri Anand Prakash,Uttar Pradesh,IND.,03/04/1988 02/04/1994,Retirement,03/04/88,02/04/94,,
17,Gautam Shri Mohan Lal,Uttar Pradesh,Congress,14/08/1969 02/04/1972,Retirement,14/08/69,02/04/72,,
18,Gautam Shri Sangh Priya,Uttar Pradesh,BJP,03/04/1990 02/04/1996,Retirement,03/04/90,02/04/96,,
10,Gautam Shri Sangh Priya,Uttarakhand,BJP,05/07/1998 08/11/2000,"08/11/2000
Retirement",05/07/98,08/11/00,,
11,Gautam Shri Sangh Priya,Uttarakhand,BJP,09/11/2000 04/07/2004,Retirement,09/11/00,04/07/04,,
19,Gavai Shri R.S.,Maharashtra,RPI,03/04/2000 02/04/2006,Retirement,03/04/00,02/04/06,,
20,George Shri K. C.,Travancore Cochin,CPI,03/04/1952 02/04/1954,"05/03/1954
Resignation",03/04/52,02/04/54,,
21,Ghose Shri Bimal Comar,West Bengal,PSP,03/04/1952 02/04/1958,"21/03/1957
Elected to Lok Sabha",03/04/52,02/04/58,,
22,Ghose Principal Devaprasad,West Bengal,JS,03/04/1952 02/04/1954,Retirement,03/04/52,02/04/54,,
23,Ghose Shri Sankar,West Bengal,Congress,03/04/1976 02/04/1982,Retirement,03/04/76,02/04/82,,
24,Ghose Shri Surendra Mohan,West Bengal,Congress,13/12/1956 02/04/1962,Retirement,13/12/56,02/04/62,,
17,Ghose Shri Surendra Mohan,West Bengal,Congress,03/04/1962 02/04/1968,Retirement,03/04/62,02/04/68,,
25,Ghosh Shri Arabinda,West Bengal,CPI(M),10/07/1981 09/07/1987,"08/11/1984
Death",10/07/81,09/07/87,,
26,Ghosh Shri Dipen,West Bengal,CPI(M),10/07/1981 09/07/1987,Retirement,10/07/81,09/07/87,,
11,Ghosh Shri Dipen,West Bengal,CPI(M),10/07/1987 09/07/1993,Retirement,10/07/87,09/07/93,,
27,Ghosh Shri Kunal Kumar,West Bengal,AITC,03/04/2012 02/04/2018,Retirement,03/04/12,02/04/18,,
28,Ghosh Shri Niren,West Bengal,CPI(M),03/04/1962 02/04/1968,Retirement,03/04/62,02/04/68,,
21,Ghosh Shri Niren,West Bengal,CPI(M),10/07/1969 09/07/1975,Retirement,10/07/69,09/07/75,,
29,Ghosh Shri Shantimoy,West Bengal,CPI(M),18/09/1984 09/07/1987,"31/10/1986
Death",18/09/84,09/07/87,,
30,Ghosh Shri Sudhir,West Bengal,Congress,03/04/1960 02/04/1966,Retirement,03/04/60,02/04/66,,
31,Ghufran Azam Shri,Madhya Pradesh,CONG(I),16/06/1989 02/04/1994,Retirement,16/06/89,02/04/94,,
17,Ghufran Azam Shri,Madhya Pradesh,CONG(I),03/04/1994 02/04/2000,Retirement,03/04/94,02/04/00,,
32,Gilbert Shri Albert Crozier,Uttar Pradesh,Congress,10/11/1960 02/04/1964,Retirement,10/11/60,02/04/64,,
26,Gilbert Shri Albert Crozier,Uttar Pradesh,Congress,03/04/1964 02/04/1970,Retirement,03/04/64,02/04/70,,
33,Gilder Dr. Muncheshaw Dhunjeebhai Dorabjee,Bombay,Congress,03/04/1952 02/04/1956,Retirement,03/04/52,02/04/56,,
27,Gilder Dr. Muncheshaw Dhunjeebhai Dorabjee,Bombay,Congress,03/04/1956 02/04/1960,Retirement,03/04/56,02/04/60,,
34,Gill Dr. M.S.,Punjab,INC,10/04/2004 09/04/2010,Retirement,10/04/04,09/04/10,,
21,Gill Dr. M.S.,Punjab,INC,10/04/2010 09/04/2016,Retirement,10/04/10,09/04/16,,
35,Gill Shri Raghbir Singh,Punjab,CONG(I),03/04/1976 02/04/1982,"09/05/1980
Disqualification",03/04/76,02/04/82,,
36,Giri Prasad Shri N.,Andhra Pradesh,CPI,03/04/1992 02/04/1998,"24/05/1997
Death",03/04/92,02/04/98,,
37,Gnanadesikan Shri B. S.,Tamil Nadu,INC,25/07/2001 24/07/2007,Retirement,25/07/01,24/07/07,,
17,Gnanadesikan Shri B. S.,Tamil Nadu,INC,25/07/2007 24/07/2013,Retirement,25/07/07,24/07/13,,
38,Goel Shri Vijay,Rajasthan,BJP,10/04/2014 09/04/2020,Retirement,10/04/14,09/04/20,,
39,Goenka Shri R.P.,Rajasthan,INC,04/04/2000 03/04/2006,Retirement,04/04/00,03/04/06,,
40,Gogoi Shri Tilok,Assam,CONG(I),20/07/1977 02/04/1980,Retirement,20/07/77,02/04/80,,
41,Gohel Shri Chunibhai Kanjibhai,Gujarat,BJP,10/04/2014 09/04/2020,Retirement,10/04/14,09/04/20,,
42,Golandaz Mohammedhusain Shri,Gujarat,CONG(I),03/04/1976 02/04/1982,Retirement,03/04/76,02/04/82,,
43,Gopal Shri V G,Bihar,Congress,03/04/1952 02/04/1956,Retirement,03/04/52,02/04/56,,
44,Gopal Singh Dr.,Nominated,NOM.,03/04/1962 02/04/1968,Retirement,03/04/62,02/04/68,,
45,Gopalakrishnan Shri R.,Madras,INC,12/03/1960 02/04/1964,Retirement,12/03/60,02/04/64,,
46,Gopalan Shri K.,Kerala,Janata (G),02/07/1982 01/07/1988,Retirement,02/07/82,01/07/88,,
47,Gopalan Shri R. T.,Tamil Nadu,AIADMK,30/06/1986 29/06/1992,Retirement,30/06/86,29/06/92,,
48,Goradia Shri Prafull,Gujarat,BJP,07/04/1998 02/04/2000,Retirement,07/04/98,02/04/00,,
49,Goray Shri N G,Maharashtra,Socialist,03/04/1970 02/04/1976,Retirement,03/04/70,02/04/76,,
50,Goswami Shri Biswa,Assam,JAN,03/04/1980 02/04/1986,Retirement,03/04/80,02/04/86,,
51,Goswami Shri Dinesh,Assam,Congress,10/04/1978 09/04/1984,Retirement,10/04/78,09/04/84,,
42,Goswami Shri Dinesh,Assam,AGP,10/04/1990 09/04/1996,"02/06/1991
Death",10/04/90,09/04/96,,
52,Goswami Shri Ramnarayan,West Bengal,CPI(M),22/10/1986 09/07/1987,Retirement,22/10/86,09/07/87,,
44,Goswami Shri Ramnarayan,West Bengal,CPI(M),10/07/1987 09/07/1993,Retirement,10/07/87,09/07/93,,
45,Goswami Shri Ramnarayan,West Bengal,CPI(M),19/08/1993 18/08/1999,Retirement,19/08/93,18/08/99,,
53,Goswami Shri Sriman Prafulla,Assam,Congress,04/05/1967 02/04/1972,Retirement,04/05/67,02/04/72,,
47,Goswami Shri Sriman Prafulla,Assam,Congress,03/04/1974 02/04/1980,Retirement,03/04/74,02/04/80,,
54,Goud T. Shri Devender,Andhra Pradesh,TDP,03/04/2012 02/04/2018,Retirement,03/04/12,02/04/18,,
55,Gour Dr. Raj Bahadur,Andhra Pradesh,PDF,03/04/1952 02/04/1956,Retirement,03/04/52,02/04/56,,
50,Gour Dr. Raj Bahadur,Andhra Pradesh,Communist,03/04/1956 02/04/1962,Retirement,03/04/56,02/04/62,,
56,Govindarajar Shri N.R.,Tamil Nadu,AIADMK,30/06/2004 29/06/2010,Retirement,30/06/04,29/06/10,,
57,Gowda Shri D. B. Chandre,Karnataka,JD,03/04/1986 02/04/1992,"14/12/1989
Resignation",03/04/86,02/04/92,,
58,Gowda Shri H.K. Javare,Karnataka,JD,03/04/1998 02/04/2004,Retirement,03/04/98,02/04/04,,
59,Gowda Shri K. G. Thimme,Karnataka,JD,10/04/1984 09/04/1990,Retirement,10/04/84,09/04/90,,
60,Gowda Shri K. S. Malle,Karnataka,IND.,03/04/1970 02/04/1976,Retirement,03/04/70,02/04/76,,
53,Gowda Shri K. S. Malle,Karnataka,IND.,03/04/1976 02/04/1982,Retirement,03/04/76,02/04/82,,
61,Gowda Prof. M.V. Rajeev,Karnataka,INC,26/06/2014 25/06/2020,Retirement,26/06/14,25/06/20,,
62,Gowda Shri U.K. Lakshmana,Karnataka,IND.,03/04/1968 02/04/1974,Retirement,03/04/68,02/04/74,,
55,Gowda Shri U.K. Lakshmana,Karnataka,IND.,03/04/1974 02/04/1980,Retirement,03/04/74,02/04/80,,
63,Goyal Shri J.P.,Uttar Pradesh,LD,03/04/1982 02/04/1988,Retirement,03/04/82,02/04/88,,
64,Goyal Shri Vedprakash P.,Maharashtra,BJP,03/04/1996 02/04/2002,Retirement,03/04/96,02/04/02,,
57,Goyal Shri Vedprakash P.,Maharashtra,BJP,03/04/2002 02/04/2008,Retirement,03/04/02,02/04/08,,
65,Guha Dr.(Smt.) Phulrenu,West Bengal,Congress,03/04/1964 02/04/1970,Retirement,03/04/64,02/04/70,,
66,Gujral Shri Inder Kumar,Punjab,Congress,03/04/1964 02/04/1970,Retirement,03/04/64,02/04/70,,
60,Gujral Shri Inder Kumar,Punjab,Congress,03/04/1970 02/04/1976,Retirement,03/04/70,02/04/76,,
53,Gujral Shri Inder Kumar,Bihar,JD,08/07/1992 07/07/1998,"02/03/1998
Elected to Lok Sabha",08/07/92,07/07/98,,
67,Gulsher Ahmed Shri,Vindhya Pradesh,Congress,03/04/1952 02/04/1956,Retirement,03/04/52,02/04/56,,
68,Gupta Dr. Akhilesh Das,Uttar Pradesh,INC,26/11/1996 25/11/2002,Retirement,26/11/96,25/11/02,,
55,Gupta Dr. Akhilesh Das,Uttar Pradesh,INC,26/11/2002 25/11/2008,"08/05/2008
Resignation",26/11/02,25/11/08,,
63,Gupta Dr. Akhilesh Das,Uttar Pradesh,BSP,26/11/2008 25/11/2014,Retirement,26/11/08,25/11/14,,
69,Gupta Shri Balkrishna,Bihar,SSP,03/04/1968 02/04/1974,"10/09/1972
Death",03/04/68,02/04/74,,
70,Gupta Shri Banarsi Das,Haryana,INC,10/04/1996 09/04/2002,Retirement,10/04/96,09/04/02,,
71,Gupta Shri Bhupesh,West Bengal,CPI,03/04/1952 02/04/1958,Retirement,03/04/52,02/04/58,,
66,Gupta Shri Bhupesh,West Bengal,CPI,03/04/1958 02/04/1964,Retirement,03/04/58,02/04/64,,
60,Gupta Shri Bhupesh,West Bengal,CPI,03/04/1964 02/04/1970,Retirement,03/04/64,02/04/70,,
53,Gupta Shri Bhupesh,West Bengal,CPI,03/04/1970 02/04/1976,Retirement,03/04/70,02/04/76,,
67,Gupta Shri Bhupesh,West Bengal,CPI,03/04/1976 02/04/1982,"06/08/1981
Death",03/04/76,02/04/82,,
72,Gupta Shri Gurudev,Madhya Pradesh,Congress,03/04/1960 02/04/1966,Retirement,03/04/60,02/04/66,,
55,Gupta Shri Gurudev,Madhya Pradesh,Congress,03/04/1976 02/04/1982,Retirement,03/04/76,02/04/82,,
73,Gupta Dr. Ishwar Chandra,Uttar Pradesh,BJP,05/07/1992 04/07/1998,Retirement,05/07/92,04/07/98,,
74,Gupta Shri Maithilisharan,Nominated,NOM.,03/04/1952 02/04/1958,Retirement,03/04/52,02/04/58,,
70,Gupta Shri Maithilisharan,Nominated,NOM.,03/04/1958 02/04/1964,Retirement,03/04/58,02/04/64,,
75,Gupta Shri Manish,West Bengal,AITC,14/03/2017 02/04/2020,Retirement,14/03/17,02/04/20,,
76,Gupta Shri Narain Prasad,Madhya Pradesh,BJP,30/06/1992 29/06/1998,Retirement,30/06/92,29/06/98,,
77,Gupta Shri R. C.,Uttar Pradesh,Congress,03/04/1952 02/04/1954,Retirement,03/04/52,02/04/54,,
53,Gupta Shri R. C.,Uttar Pradesh,Congress,03/04/1954 02/04/1960,Retirement,03/04/54,02/04/60,,
78,Gupta Shri Ram Gopal,Uttar Pradesh,Swatantra,03/04/1960 02/04/1966,Retirement,03/04/60,02/04/66,,
79,Gupta Shri Ram Lakhan Prasad,Bihar,BJP,10/04/1978 09/04/1984,Retirement,10/04/78,09/04/84,,
80,Gupta Shri Shyamlal,Bihar,JAN,10/04/1972 09/04/1978,Retirement,10/04/72,09/04/78,,
81,Gupta Shri Vishwa Bandhu,National Capital Territory of Delhi,CONG(I),03/04/1984 02/04/1990,Retirement,03/04/84,02/04/90,,
82,Gupta Shri Vivek,West Bengal,AITC,03/04/2012 02/04/2018,Retirement,03/04/12,02/04/18,,
83,Gupte Shri Bhalchanda Maheshwar,Bombay,Congress,03/04/1952 02/04/1958,Retirement,03/04/52,02/04/58,,
84,Gurumoorthy Shri B. V.,Hyderabad,Congress,15/02/1954 02/04/1956,Retirement,15/02/54,02/04/56,,
85,Gurung Shri T. S.,West Bengal,CPI(M),14/03/1986 02/04/1990,"13/01/1989
Death",14/03/86,02/04/90,,
86,Gurupadaswamy Shri M. S.,Mysore,Congress,03/04/1960 02/04/1966,Retirement,03/04/60,02/04/66,,
53,Gurupadaswamy Shri M. S.,Mysore,Congress,03/04/1966 02/04/1972,Retirement,03/04/66,02/04/72,,
78,Gurupadaswamy Shri M. S.,Karnataka,JD,10/04/1984 09/04/1990,Retirement,10/04/84,09/04/90,,
79,Gurupadaswamy Shri M. S.,Uttar Pradesh,JD,10/04/1990 04/07/1992,Retirement,10/04/90,04/07/92,,
87,Guruswami Shri S.,Madras,O,03/04/1952 02/04/1954,Retirement,03/04/52,02/04/54,,
88,Gyamtso Shri Palden Tsering,Sikkim,SDF,22/09/2000 23/02/2006,"23/02/2006
Retirement",22/09/00,23/02/06,,
1,Habibullah Smt. Hamida,Uttar Pradesh,CONG(I),03/04/1976 02/04/1982,Retirement,03/04/76,02/04/82,,
2,Hagjer Shri Joy Bhadra,Assam,Congress,03/04/1958 02/04/1964,"17/03/1962
Resignation",03/04/58,02/04/64,,
3,Haji Shri Korambayil Ahammed,Kerala,ML,03/04/1998 02/04/2004,"12/05/2003
Death",03/04/98,02/04/04,,
4,Hakim Ali Khawja,Jammu & Kashmir,O,22/08/1961 02/04/1962,Retirement,22/08/61,02/04/62,,
5,Hamdard Shri Barjinder Singh,Punjab,IND.,10/04/1998 09/04/2004,"21/12/2000
Seat declared vacant",10/04/98,09/04/04,,
6,Handique Shri Bijoy Krishna,Assam,CONG(I),03/04/1980 02/04/1986,Retirement,03/04/80,02/04/86,,
7,Haneef Shri Mahammed,Odisha,Congress,03/04/1966 02/04/1972,"06/10/1967
Death",03/04/66,02/04/72,,
8,Hans Raj Raizada,Punjab,Congress,03/04/1952 19/08/1952,"29/08/1952
Resignation",03/04/52,19/08/52,,
5,Hans Raj Raizada,Punjab,Congress,17/03/1953 02/04/1958,Retirement,17/03/53,02/04/58,,
9,Hansda Shri Phanindra Nath,West Bengal,Congress,03/04/1976 02/04/1982,Retirement,03/04/76,02/04/82,,
10,Hanspal Shri Harvendra Singh,Punjab,CONG(I),05/07/1980 04/07/1986,Retirement,05/07/80,04/07/86,,
2,Hanspal Shri Harvendra Singh,Punjab,CONG(I),05/07/1986 04/07/1992,Retirement,05/07/86,04/07/92,,
11,Hanumanthappa Shri H.,Karnataka,CONG(I),03/04/1982 02/04/1988,Retirement,03/04/82,02/04/88,,
1,Hanumanthappa Shri H.,Karnataka,CONG(I),03/04/1988 02/04/1994,Retirement,03/04/88,02/04/94,,
3,Hanumanthappa Shri H.,Karnataka,CONG(I),03/04/1994 02/04/2000,Retirement,03/04/94,02/04/00,,
12,Haq Molana Asrarul,Rajasthan,CONG(I),05/07/1980 04/07/1986,Retirement,05/07/80,04/07/86,,
13,Hardikar Dr. N.S.,Bombay,Congress,07/08/1952 02/04/1956,Retirement,07/08/52,02/04/56,,
