s_no,member_name,state,party,term,vacate_reason
89,Angre Sardar Chandroji Sambhaji Rao,Madhya Bharat,HM,03/04/1952 02/04/1954,Retirement
90,Angre Shri S.C.,Madhya Pradesh,JS,03/04/1970 02/04/1976,Retirement
91,Anil Kumar Shri,Bihar,JD,08/07/1992 07/07/1998,Retirement
91,Anil Kumar Shri,Bihar,RJD,08/07/1998 07/07/2004,Retirement
92,Anjiah Shri T.,Andhra Pradesh,CONG(I),10/04/1978 09/04/1984,"19/02/1981
Resignation"
93,Annadurai Shri C.N.,Madras,DMK,03/04/1962 02/04/1968,"25/02/1967
Elected to Lok Sabha"
94,Ansari Shri Abdul Qaiyum,Bihar,Congress,03/04/1970 02/04/1976,"19/03/1972
Resignation"
95,Ansari Shri Ali Anwar,Bihar,JD(U),03/04/2006 02/04/2012,Retirement
95,Ansari Shri Ali Anwar,Bihar,JD(U),03/04/2012 02/04/2018,"04/12/2017
Disqualification"
96,Ansari Shri Faridul Haq,Uttar Pradesh,PSP,03/04/1958 02/04/1964,Retirement
96,Ansari Shri Faridul Haq,Uttar Pradesh,PSP,03/04/1964 02/04/1970,"04/04/1966
Death"
97,Ansari Shri Hayatulla,Uttar Pradesh,Congress,03/04/1966 02/04/1972,Retirement
97,Ansari Shri Hayatulla,Nominated,Congress,27/09/1982 26/09/1988,Retirement
98,Ansari Shri Jalaludin,Bihar,CPI,03/04/1994 02/04/2000,Retirement
99,Ansari Shri Mohammed Amin,Uttar Pradesh,Congress,03/04/1988 02/04/1994,"14/07/1990
Death"
100,Ansari Shri Salim,Uttar Pradesh,BSP,05/07/2010 04/07/2016,Retirement
101,Ansaruddin Ahmed Shri,West Bengal,Congress,03/04/1958 02/04/1964,Retirement
102,Antani Dr. Biharilal Naranji,Gujarat,Swatantra,03/04/1966 02/04/1972,"16/09/1971
Death"
103,Antulay Shri A.R.,Maharashtra,CONG(I),03/04/1976 02/04/1982,"03/07/1980
Resignation"
104,Anup Singh Dr.,Punjab,Congress,03/04/1952 02/04/1954,Retirement
104,Anup Singh Dr.,Punjab,Congress,03/04/1954 02/04/1960,Retirement
104,Anup Singh Dr.,Punjab,Congress,03/04/1962 02/04/1968,"22/11/1962
Disqualification"
104,Anup Singh Dr.,Punjab,Congress,03/04/1964 02/04/1970,"28/01/1969
Death"
105,Anwar Shri N.M.,Madras,Congress,03/04/1960 02/04/1966,Retirement
106,Appan Shri G.A.,Madras,DMK,03/04/1968 02/04/1974,Retirement
107,Apparow Shri M.R.,Andhra Pradesh,CONG(I),20/03/1981 02/04/1982,Retirement
108,Apte Shri Balavant alias Bal,Maharashtra,BJP,03/04/2000 02/04/2006,Retirement
108,Apte Shri Balavant alias Bal,Maharashtra,BJP,03/04/2006 02/04/2012,Retirement
109,Apte Shri Devdas,Jharkhand,BJP,02/07/2002 09/04/2008,Retirement
